Timestamp,X,Y,Z
16-7月-2020 12:32:29.337,-9.716744,3.911516,2.412982
16-7月-2020 12:32:29.437,-10.043664,3.367397,6.14098
16-7月-2020 12:32:29.537,-10.484797,-0.409997,7.022048
16-7月-2020 12:32:29.636,-5.885611,-6.192173,5.758525
16-7月-2020 12:32:29.736,-8.942105,-7.303612,-1.906885
16-7月-2020 12:32:29.836,-15.370188,-7.260651,6.337371
16-7月-2020 12:32:29.935,-12.737762,2.422712,2.656077
16-7月-2020 12:32:30.035,-6.679111,0.753084,-4.653673
16-7月-2020 12:32:30.135,-4.008365,-4.208349,-1.637445
16-7月-2020 12:32:30.235,-9.014105,-4.295018,0.790955
16-7月-2020 12:32:30.334,-10.907817,-6.870862,5.524861
16-7月-2020 12:32:30.434,-8.366402,-6.053412,1.843566
16-7月-2020 12:32:30.534,-5.681286,-4.296366,1.419947
16-7月-2020 12:32:30.633,-3.421734,-5.085225,-0.145348
16-7月-2020 12:32:30.733,-2.226171,-8.460406,-0.454754
16-7月-2020 12:32:30.833,-3.208877,-8.123457,0.474813
16-7月-2020 12:32:30.932,-5.264702,-10.562785,-0.097597
16-7月-2020 12:32:31.032,-3.800896,-7.437134,-0.22603
16-7月-2020 12:32:31.132,-4.234395,-8.86756,-0.272284
16-7月-2020 12:32:31.232,-4.352499,-7.76615,-1.279389
16-7月-2020 12:32:31.331,-4.834946,-6.224207,-1.291963
16-7月-2020 12:32:31.431,-8.413704,-10.486144,-2.014511
16-7月-2020 12:32:31.531,-6.33333,-7.895182,2.837499
16-7月-2020 12:32:31.630,-7.454498,-8.167615,0.690065
16-7月-2020 12:32:31.730,-7.560777,-9.725725,2.300865
16-7月-2020 12:32:31.830,-5.032834,-7.187603,0.125739
16-7月-2020 12:32:31.929,-6.870263,-8.4396,-0.694256
16-7月-2020 12:32:32.029,-6.570736,-7.33325,-0.213905
16-7月-2020 12:32:32.129,-6.442004,-8.44918,-0.890349
16-7月-2020 12:32:32.229,-6.583609,-7.89623,-0.386496
16-7月-2020 12:32:32.328,-5.114564,-5.278174,-0.210612
