Timestamp,X,Y,Z
29-6月-2020 00:01:14.653,-2.258503,5.028344,8.085736
29-6月-2020 00:01:14.753,-2.168091,5.029691,8.156389
29-6月-2020 00:01:14.853,-2.187401,5.056186,8.144114
29-6月-2020 00:01:14.953,-2.185455,5.043612,8.186326
29-6月-2020 00:01:15.052,-2.18815,5.036576,8.194559
29-6月-2020 00:01:15.152,-2.153572,5.05424,8.186027
29-6月-2020 00:01:15.252,-2.239343,5.024751,8.168513
29-6月-2020 00:01:15.351,-2.174977,5.041666,8.156089
29-6月-2020 00:01:15.451,-2.230362,4.999753,8.157886
29-6月-2020 00:01:15.551,-2.179917,5.031487,8.159382
29-6月-2020 00:01:15.651,-2.235451,4.98179,8.164023
29-6月-2020 00:01:15.750,-2.152075,5.032984,8.106692
29-6月-2020 00:01:15.850,-2.182012,4.984634,8.190218
29-6月-2020 00:01:15.950,-2.183659,5.043761,8.137079
29-6月-2020 00:01:16.049,-2.238445,5.005291,8.186027
29-6月-2020 00:01:16.149,-2.173331,5.041067,8.13663
29-6月-2020 00:01:16.249,-2.233805,4.93883,8.183183
29-6月-2020 00:01:16.349,-2.222728,5.061874,8.154892
29-6月-2020 00:01:16.448,-2.265988,4.993466,8.17989
29-6月-2020 00:01:16.548,-2.115251,5.03972,8.18932
29-6月-2020 00:01:16.648,-2.235002,4.978048,8.26626
29-6月-2020 00:01:16.747,-2.281705,5.028044,8.115524
29-6月-2020 00:01:16.847,-2.057771,5.07819,8.212372
29-6月-2020 00:01:16.947,-2.318229,4.961732,8.238119
29-6月-2020 00:01:17.047,-2.124233,5.090764,8.109686
29-6月-2020 00:01:17.146,-2.220183,4.941674,8.306077
29-6月-2020 00:01:17.246,-2.150428,5.035529,8.16522
29-6月-2020 00:01:17.346,-2.237098,5.032535,8.104297
29-6月-2020 00:01:17.445,-2.154769,5.026248,8.140522
29-6月-2020 00:01:17.545,-2.21704,4.946763,8.168364
29-6月-2020 00:01:17.645,-2.163152,5.036127,8.148306
29-6月-2020 00:01:17.744,-2.208807,5.021608,8.15564
29-6月-2020 00:01:17.844,-2.190245,4.934189,8.183632
29-6月-2020 00:01:17.943,-2.196981,5.026248,8.154293
29-6月-2020 00:01:18.044,-2.170786,5.028793,8.149054
29-6月-2020 00:01:18.143,-2.209555,4.998106,8.133337
29-6月-2020 00:01:18.243,-2.225572,4.977749,8.232431
29-6月-2020 00:01:18.343,-2.169289,5.015919,8.168813
29-6月-2020 00:01:18.442,-2.256258,4.974306,8.147258
29-6月-2020 00:01:18.542,-2.232458,5.026547,8.143066
29-6月-2020 00:01:18.642,-2.225123,4.775669,8.303682
29-6月-2020 00:01:18.742,-1.628613,4.866231,8.207133
29-6月-2020 00:01:18.841,-2.592459,5.089716,8.197703
29-6月-2020 00:01:18.941,-2.033671,5.064568,8.120613
29-6月-2020 00:01:19.041,-2.050735,4.873416,8.264015
29-6月-2020 00:01:19.140,-2.137106,4.781058,8.317005
29-6月-2020 00:01:19.240,-2.010469,4.883145,8.263266
29-6月-2020 00:01:19.340,-2.183659,4.906647,8.251142
29-6月-2020 00:01:19.440,-2.238445,4.848717,8.19411
29-6月-2020 00:01:19.539,-2.12049,4.836892,8.351732
29-6月-2020 00:01:19.639,-2.391577,4.795128,8.351732
29-6月-2020 00:01:19.739,-2.374213,4.897815,8.075557
29-6月-2020 00:01:19.838,-2.373165,4.903353,8.09337
29-6月-2020 00:01:19.938,-2.280208,4.961133,8.404722
29-6月-2020 00:01:20.038,-2.15432,4.972809,8.024513
29-6月-2020 00:01:20.138,-1.855691,5.129084,8.136031
29-6月-2020 00:01:20.237,-2.311194,4.986131,8.165669
29-6月-2020 00:01:20.337,-2.085912,5.241201,8.034392
29-6月-2020 00:01:20.437,-1.820814,5.136269,8.207582
29-6月-2020 00:01:20.536,-2.092199,5.05888,8.145611
29-6月-2020 00:01:20.636,-1.941313,5.22728,8.155341
29-6月-2020 00:01:20.736,-2.079326,5.180128,8.25204
29-6月-2020 00:01:20.836,-2.349514,5.292544,8.027656
29-6月-2020 00:01:20.935,-2.490371,5.245692,7.555538
29-6月-2020 00:01:21.035,-2.399361,5.26081,7.855215
29-6月-2020 00:01:21.135,-2.388882,5.303172,7.945926
29-6月-2020 00:01:21.234,-2.526596,5.171895,7.989037
29-6月-2020 00:01:21.334,-2.542762,5.04436,7.873327
29-6月-2020 00:01:21.434,-2.326163,5.201084,7.98739
29-6月-2020 00:01:21.534,-2.824476,4.982389,8.048313
29-6月-2020 00:01:21.633,-2.730921,5.106331,7.963889
29-6月-2020 00:01:21.733,-2.826572,5.162016,7.859855
29-6月-2020 00:01:21.833,-2.819986,5.135371,7.877519
29-6月-2020 00:01:21.932,-2.694547,5.134024,7.923473
29-6月-2020 00:01:22.032,-2.761158,5.132227,7.946824
29-6月-2020 00:01:22.132,-2.65922,5.178182,7.962242
29-6月-2020 00:01:22.231,-2.696193,5.163662,7.92512
29-6月-2020 00:01:22.331,-2.589166,5.16007,7.986492
29-6月-2020 00:01:22.431,-2.608176,5.229076,7.837103
29-6月-2020 00:01:22.530,-2.555636,5.105134,7.993976
29-6月-2020 00:01:22.630,-2.5968,5.25138,7.92512
29-6月-2020 00:01:22.730,-2.627785,5.176685,7.941885
29-6月-2020 00:01:22.830,-2.630031,5.149891,7.980804
29-6月-2020 00:01:22.929,-2.569706,5.199587,7.899673
29-6月-2020 00:01:23.029,-2.733615,5.148693,7.936945
29-6月-2020 00:01:23.129,-2.607428,5.248685,7.884255
29-6月-2020 00:01:23.229,-2.658771,5.096452,7.98769
29-6月-2020 00:01:23.328,-2.628983,5.237159,7.872878
29-6月-2020 00:01:23.428,-2.668201,5.173092,7.96329
29-6月-2020 00:01:23.528,-2.609673,5.202431,7.883057
29-6月-2020 00:01:23.627,-2.035467,4.678072,8.699609
29-6月-2020 00:01:23.727,-2.504891,5.061125,8.376281
29-6月-2020 00:01:23.827,-2.561024,5.128036,7.488478
29-6月-2020 00:01:23.927,-2.271676,4.816534,8.110285
29-6月-2020 00:01:24.026,-1.778601,4.532724,9.638756
29-6月-2020 00:01:24.126,-0.658181,5.133724,7.755373
29-6月-2020 00:01:24.226,-0.605191,5.471422,8.345146
29-6月-2020 00:01:24.325,-0.322579,5.313201,8.311017
29-6月-2020 00:01:24.425,-0.473914,5.2418,8.431966
29-6月-2020 00:01:24.525,-0.350421,5.183421,8.324938
29-6月-2020 00:01:24.625,-0.4088,5.209467,8.29021
29-6月-2020 00:01:24.724,-0.480201,5.172194,8.411758
29-6月-2020 00:01:24.824,-0.464185,5.19345,8.31446
29-6月-2020 00:01:24.924,-0.461191,5.191953,8.337512
29-6月-2020 00:01:25.022,-0.310305,5.218149,8.378527
29-6月-2020 00:01:25.123,-0.369581,5.216053,8.334818
29-6月-2020 00:01:25.223,-0.063318,4.953799,7.683073
29-6月-2020 00:01:25.323,-0.530197,5.212161,8.019424
29-6月-2020 00:01:25.422,-0.293989,4.996759,8.549172
29-6月-2020 00:01:25.522,-0.374072,5.269642,8.361462
29-6月-2020 00:01:25.622,-1.20724,4.631219,8.596174
29-6月-2020 00:01:25.721,-1.780098,4.166586,8.74721
29-6月-2020 00:01:25.821,-2.430645,4.351152,8.913514
29-6月-2020 00:01:25.921,-2.656675,3.695815,7.967032
29-6月-2020 00:01:26.021,-1.799707,3.634292,9.003028
29-6月-2020 00:01:26.120,-2.348915,3.686234,8.754545
29-6月-2020 00:01:26.220,-2.308799,4.158203,8.597372
